time,review,Players,review_clean,sentiment_label,positive,negative,positive_count,negative_count,sentiment_ratio
2023-11-05,been playing since early access became available. love this game and my time at portia (also recommend!).,19735,Playing Access Love Game Time Portia Recommend,POSITIVE,1,0,49,11,0.8166666666666667
2023-11-21,"a worthy, quality sequel. “my time at portia” was a decent game, but “my time at sandrock” takes nearly all the ideas to the next level, making it hard to go back to the previous game.

the game does a good job of combining lore and gameplay elements, which is quite unusual and pleasant for the genre. thanks to the fact that the player has a goal from the very beginning, and the set of actions is mostly based on how the world is structured, the game feels cohesive. for example, the ability to plant crops is not just given because it’s necessary, but due to certain plot events, and it’s given by an npc. the process of growing plants, although a bit tedious and requires excessive micromanagement, is still justified by the game world: water is scarce, the soil isn’t the best, so you have to put in the effort.

there’s a lot of content in the game, it unfolds quite slowly, but that’s not a downside, because there’s always something for the player to do. both the main quest and all the side quests may not be tarantino-level in terms of execution, but they’re adequately composed, always capable of keeping the game interesting.

the game has a few downsides:

[olist]
[*]clunky controls coupled with a rather primitive camera behavior. for example, you need to press a separate button for aiming, after which the camera sensitivity seems to increase due to the change in the camera’s anchor point.
[*]extremely sparse, quite primitive animation. it reveals the budget nature of the project and hinders immersion.
[*]an excess of invisible walls, especially in the local dungeons. it feels like the authors set up the walls after prototyping the levels, but forgot to put up boxes and other obstacles blocking the path in some places or placed them too far away.
[*]useless multiplayer. there is a cooperative mode in name, but it’s very primitive and boring. the authors chose an earlier time period of the city when it was under construction, were too lazy to attach a decent plot, and just allowed several players to mess around in it at the same time.
[/olist]

overall, my time at sandrock is a worthy representative of the sandbox genre. the gameplay, except for the combat component, is decent, the plot is also decent, the graphics are decent, albeit with a specific stylization. against the backdrop of glitchy, unfinished games, this one looks pretty good.",9327,Worthy Quality Sequel Time Portia Decent Game Time Sandrock Takes Ideas Level Hard Previous Game Game Job Combining Lore Gameplay Elements Unusual Pleasant Genre Player Goal Set Actions Based Structured Game Feels Cohesive Ability Plant Crops Plot Events Npc Process Growing Plants Bit Tedious Requires Excessive Micromanagement Justified Game Water Scarce Soil Effort Lot Content Game Unfolds Slowly Downside Player Main Quest Quests Tarantino Level Terms Execution Adequately Composed Capable Keeping Game Game Downsides Olist Clunky Controls Coupled Primitive Camera Behavior Press Separate Button Aiming Camera Sensitivity Increase Change Camera Anchor Extremely Sparse Primitive Animation Reveals Budget Nature Project Hinders Immersion Excess Invisible Walls Local Dungeons Feels Authors Set Walls Prototyping Levels Forgot Boxes Obstacles Blocking Path Useless Multiplayer Cooperative Mode Primitive Boring Authors Chose Earlier Time Period City Construction Lazy Attach Decent Plot Allowed Players Mess Time Olist Time Sandrock Worthy Representative Sandbox Genre Gameplay Combat Component Decent Plot Decent Graphics Decent Albeit Specific Stylization Backdrop Glitchy Unfinished Games Pretty,POSITIVE,1,0,165,11,0.9375
2023-11-04,i have 300+ hours in this game and still going strong. game has been done justice by the devs <3,16806,300 Hours Game Strong Game Justice Devs 3,POSITIVE,1,0,56,7,0.8888888888888888
2023-11-04,"this game has crafting, exploring, fishing, farming, and a fulfilling cozy plot in spite of the desert aesthetics. the game developers have been very responsive to feedback and quick to send out patches throughout the entire process. i've started a new game with the 1.0 release and am enjoying seeing the game play out how it is meant to be.",16806,Game Crafting Exploring Fishing Farming Fulfilling Cozy Plot Spite Desert Aesthetics Game Developers Responsive Feedback Quick Send Patches Entire Process Started Game 1 0 Release Enjoying Game Play Meant,POSITIVE,1,0,56,7,0.8888888888888888
2023-11-04,"this is the game i am looking for in my entire life!!!
love everything, thank you for hard work and create this game.
please continue this series in the future.",16806,Game Entire Life Love Hard Create Game Continue Series Future,POSITIVE,1,0,56,7,0.8888888888888888
2023-11-04,"this is a neutral review. i don't think the game is for me, but i think fans of the genre will probably like it. it's well made from a technical standpoint. there is a lot to collect and do, it just isn't very compelling. the screenshot/videos are very accurate to what the game is. if you think you'll like it, you probably will, if you're hoping for something greater than the sum of its parts, you might be disappointed.",16806,Neutral Review Game Fans Genre Technical Standpoint Lot Collect Compelling Screenshot Videos Accurate Game Hoping Sum Disappointed,POSITIVE,1,0,56,7,0.8888888888888888
2023-11-04,"basically portia in the desert.  it looks better and there's a lot more polish, and more importantly there's a number of qol improvements.  things like the game automatically taking things from your storage containers, sprint toggle, fast travel points being there from the start, etc.  the perk tree is also far more useful this time around.  the characters seem a little more interesting this time as well.  i still like the core gameplay concept more than most farming sims, as your money comes from doing commissions rather than just mass producing whatever is valuable and throwing it into a box.

that said there's still some issues from the first game, the biggest being the mobile game timers on all the crafting.  i sure do enjoy having to wait 10+ minutes of real life time to smelt some bars, and then another 5-10 minutes to turn those into whatever other parts your need.  you just kind of have to make 4-5 of each production machine, but then of course that means more resource gathering to fuel them.  just like the first game, a mod to make crafting faster would cut the game length in half.  the combat also hasn't improved at all.  you still just mash attack and do a dodge roll every so often, and that's it.  there's an armour break system now, but it gets trivialised once you find the '+1 break' skill on the perk tree and murder everything in seconds.

if you need a busywork sim game to fill your time, this is still a decent improvement on the first one.  there's lots and lots of stuff to do, it's a chill game genre,  and it's entertaining enough to overlook most of the flaws.",16806,Basically Portia Desert Lot Polish Importantly Qol Improvements Game Automatically Storage Containers Sprint Toggle Fast Travel Start Perk Tree Time Characters Time Core Gameplay Concept Farming Sims Money Commissions Mass Producing Valuable Throwing Box Issues Game Biggest Mobile Game Timers Crafting Enjoy Wait Minutes Real Life Time Smelt Bars 5 Minutes 4 5 Production Machine Resource Gathering Fuel Game Mod Crafting Faster Cut Game Combat Improved Mash Attack Dodge Roll Armour Break Trivialised 1 Break Skill Perk Tree Murder Busywork Sim Game Time Decent Improvement Lots Lots Stuff Chill Game Genre Entertaining Overlook Flaws,POSITIVE,1,0,56,7,0.8888888888888888
2023-11-03,"great cozy game, plenty to do, plays well, progression feels good, voice acted, just a well made product! loved my time at portia, definitely feeling the same about this.",11835,Cozy Game Plenty Plays Progression Feels Voice Acted Product Loved Time Portia Feeling,POSITIVE,1,0,74,8,0.9024390243902439
2023-11-03,this game is well done and very addicting especially once you find your rhythm of crafting and gathering. probably the best feature of the game is how they handle inventory and storage. you can craft at any worktable/machine from items that are in any chests and you can turn in quests anywhere on the map with items that are in your chests at home. you can also push a button to store and sort items from your inventory into matching items that are in any of your chests. this is the best qol feature of the game imo since inventory management in other games is a pain so i'm glad sandrock is doing it right.,11835,Game Addicting Rhythm Crafting Gathering Feature Game Handle Inventory Storage Craft Worktable Machine Items Chests Quests Map Items Chests Push Button Store Sort Items Inventory Matching Items Chests Qol Feature Game Imo Inventory Management Games Pain Glad Sandrock,POSITIVE,1,0,74,8,0.9024390243902439
2023-11-03,"they took everything about portia and turned it up to 11.

a wide variety of people in town. so many personalities. they play off of each other to make it feel like it's a real interaction. there are disagreements where both sides aren't wrong. there are little things that drive the characters forward. intrigue. a history!

yes, i'm a bit biased. i've been playing the early access game for a long time. watching this grow from a concept to an actual fully fleshed out game has been a lot of fun. playing it is even more so. :)",11835,Portia 11 Wide Variety People Town Personalities Play Feel Real Interaction Disagreements Wrong Drive Characters Intrigue History Bit Biased Playing Access Game Time Watching Grow Concept Actual Fleshed Game Lot Fun Playing,POSITIVE,1,0,74,8,0.9024390243902439
2023-11-03,"game so far is a lot of fun, worth your money if it's your type of game.",11835,Game Lot Fun Worth Money Type Game,POSITIVE,1,0,74,8,0.9024390243902439
2023-11-21,"[i]my time at portia[/i] was a real surprise for me when i first played it. i'm pretty sure i got it in a bundle. it looked like someone had repurposed the assets of a korean mmo from 2010. but it turned out to be an unexpectedly feature rich game with an interesting post-apocalyptic worldbuilding, gameplay with genuinely novel ideas in combining the day-to-day work cycle and socializing of [i]harvest moon[/i] with softer factory game mechanics and combat, and just a good amount of content that was fun despite the jank.

[i]my time at sandrock[/i] takes all the good ideas of its predecessor which felt accidentally good at many times, and elevates them so you can make no mistake that pathea are actually a really talented and hardworking company that knows what they're doing. is it free of jank? no, not really. but it's so chockful of good things that even the jank becomes charming. it has a great, interesting story full of characters with vibrant personalities and not the paper-thin cutouts you get in [i]stardew valley[/i]. the world of the setting is so fully realized despite the series' cartoony nature and you feel excited to explore and learn about it. it is genuinely laugh out loud funny at many points, and genuinely emotional at others. i have to give it up for the vas who don't seem like professionals but are still giving their best. the building gameplay while its core loop is the same, sees a lot of qol improvements. the combat is more dynamic and offers a bit of challenge though it's still on the casual side. there's so many small charming details too, like when you go on dates in-game, they put in an animation where your significant other holds your hand. they didn't have to do that. it has no mechanical value. it's just cute and it makes you feel good.

stuff like that is why i think most of all, what the game nails is that it makes it good to be in sandrock, and to see sandrock grow. everyone who plays games for long enough understands the feeling where a place in a game becomes like a real place we have visited and been in, and we feel a sort of nostalgia seeing it. i think sandrock will feel that way to many people playing the game, it's such a wonderfully crafted setting, and it really fulfills the promise of the genre of ""life sim"" where you can take a break from reality and live somewhere else for a little while. i'm not even done with the main story. i restarted with 1.0 to experience it as intended since in beta lots of the quests squished together in buggy ways as they were implemented, but i feel glad to have done that. this is gonna be a game i will have good memories of and consider a favorite years from now.

p.s. just to be clear, i'm only really reviewing the single-player experience. i have not tried and am not that fussed about multiplayer.",9327,Time Portia Real Surprise Played Pretty Bundle Looked Repurposed Assets Korean Mmo 2010 Unexpectedly Feature Rich Game Post Apocalyptic Worldbuilding Gameplay Genuinely Ideas Combining Day Day Cycle Socializing Harvest Moon Softer Factory Game Mechanics Combat Content Fun Jank Time Sandrock Takes Ideas Predecessor Accidentally Times Elevates Mistake Pathea Talented Hardworking Company Jank Chockful Jank Charming Story Characters Vibrant Personalities Paper Cutouts Stardew Valley Setting Realized Series Cartoony Nature Feel Excited Explore Learn Genuinely Laugh Loud Funny Genuinely Emotional Vas Professionals Building Gameplay Core Loop Lot Qol Improvements Combat Dynamic Offers Bit Challenge Casual Charming Details Dates Game Animation Holds Hand Mechanical Cute Feel Stuff Game Nails Sandrock Sandrock Grow Plays Games Understands Feeling Game Real Visited Feel Sort Nostalgia Sandrock Feel People Playing Game Wonderfully Crafted Setting Fulfills Promise Genre Life Sim Break Reality Live Main Story Restarted 1 0 Experience Intended Beta Lots Quests Squished Buggy Implemented Feel Glad Gonna Game Memories Favorite Reviewing Single Player Experience Fussed Multiplayer,POSITIVE,1,0,165,11,0.9375
2023-11-02,"i love the game, but i really think that, putting the game at 15% off when you first say that in the lauch date it was going to be more expensive is, at least, rude. i but the game time ago, but five days ago i purchase it for my boyfriend so we can enjoy the game at launch phase. amazing. ty so much, i gues...",7446,Love Game Putting Game 15 Lauch Expensive Rude Game Time Days Purchase Boyfriend Enjoy Game Launch Phase Amazing Ty Gues,POSITIVE,1,0,63,15,0.8076923076923077
2023-11-02,"if stardew valley and animal crossing had a child, this is that game. 10/10 would recommend.",7446,Stardew Valley Animal Crossing Child Game Recommend,POSITIVE,1,0,63,15,0.8076923076923077
